epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,317.642,1.41964,0.78234,0.0014,0.60855,0.69935,0.62555,0.37561,1.65745,1.04965,0.00159,0.000386593,0.000386593,0.000386593
67,321.19,1.37692,0.75674,0.00138,0.63606,0.71028,0.61242,0.38598,1.60532,1.09608,0.00153,0.000383397,0.000383397,0.000383397
68,325.542,1.42924,0.79494,0.00137,0.70935,0.68092,0.66134,0.4119,1.60787,1.05132,0.00151,0.000380171,0.000380171,0.000380171
69,329.829,1.36039,0.70345,0.00136,0.70935,0.68092,0.66134,0.4119,1.60787,1.05132,0.00151,0.000376916,0.000376916,0.000376916
70,334.18,1.40052,0.77435,0.00152,0.71641,0.70578,0.66012,0.40291,1.58276,1.03511,0.0015,0.000373633,0.000373633,0.000373633
71,337.752,1.38634,0.74322,0.00133,0.70554,0.71176,0.66504,0.38779,1.58431,1.02575,0.00151,0.000370323,0.000370323,0.000370323
72,341.056,1.34469,0.71113,0.00138,0.70554,0.71176,0.66504,0.38779,1.58431,1.02575,0.00151,0.000366986,0.000366986,0.000366986
73,344.534,1.42774,0.74873,0.00132,0.71627,0.68903,0.66325,0.37742,1.61216,1.02918,0.00154,0.000363623,0.000363623,0.000363623
74,347.779,1.43279,0.70543,0.00138,0.71627,0.68903,0.66325,0.37742,1.61216,1.02918,0.00154,0.000360235,0.000360235,0.000360235
75,351.106,1.34721,0.6969,0.00127,0.69143,0.69937,0.67694,0.38694,1.63565,1.03129,0.00156,0.000356823,0.000356823,0.000356823
76,354.592,1.33695,0.68441,0.00134,0.67474,0.71002,0.67649,0.39294,1.64103,1.05559,0.00157,0.000353387,0.000353387,0.000353387
77,358.112,1.30786,0.65891,0.00133,0.67474,0.71002,0.67649,0.39294,1.64103,1.05559,0.00157,0.00034993,0.00034993,0.00034993
78,361.441,1.34994,0.70215,0.00122,0.64581,0.70487,0.6586,0.40511,1.59761,1.07238,0.00154,0.00034645,0.00034645,0.00034645
79,364.978,1.42526,0.705,0.00134,0.63368,0.72648,0.66696,0.39874,1.61515,1.08876,0.00155,0.00034295,0.00034295,0.00034295
80,368.404,1.34674,0.70858,0.00142,0.63368,0.72648,0.66696,0.39874,1.61515,1.08876,0.00155,0.00033943,0.00033943,0.00033943
81,371.717,1.4318,0.72992,0.00149,0.65595,0.71985,0.68363,0.41293,1.60001,1.10234,0.00155,0.000335892,0.000335892,0.000335892
82,376.163,1.38511,0.67,0.00126,0.65595,0.71985,0.68363,0.41293,1.60001,1.10234,0.00155,0.000332335,0.000332335,0.000332335
83,380.399,1.3702,0.68087,0.00155,0.65111,0.72149,0.67805,0.40425,1.58466,1.10657,0.00154,0.00032876,0.00032876,0.00032876
84,384.087,1.31671,0.68917,0.00144,0.64807,0.70207,0.65916,0.39213,1.61433,1.08391,0.00156,0.00032517,0.00032517,0.00032517
85,387.538,1.39039,0.67765,0.00128,0.64807,0.70207,0.65916,0.39213,1.61433,1.08391,0.00156,0.000321564,0.000321564,0.000321564
86,390.897,1.31797,0.63119,0.00128,0.70542,0.6767,0.66031,0.38865,1.6327,1.06526,0.00158,0.000317943,0.000317943,0.000317943
87,394.331,1.34008,0.67424,0.00145,0.79433,0.63417,0.76653,0.44878,1.62917,1.05106,0.0016,0.000314309,0.000314309,0.000314309
88,398.662,1.26322,0.6055,0.0013,0.79433,0.63417,0.76653,0.44878,1.62917,1.05106,0.0016,0.000310662,0.000310662,0.000310662
89,402.745,1.22192,0.58786,0.00121,0.92106,0.60185,0.76743,0.4476,1.61019,1.05049,0.00159,0.000307003,0.000307003,0.000307003
90,406.22,1.2771,0.60547,0.00121,0.92106,0.60185,0.76743,0.4476,1.61019,1.05049,0.00159,0.000303333,0.000303333,0.000303333
91,409.773,1.32047,0.6507,0.00143,0.92713,0.58673,0.76677,0.45142,1.59652,1.05477,0.00156,0.000299653,0.000299653,0.000299653
92,414.05,1.28661,0.62026,0.00132,0.91573,0.57584,0.77652,0.45221,1.60047,1.03584,0.00155,0.000295964,0.000295964,0.000295964
93,418.148,1.24992,0.63059,0.00128,0.91573,0.57584,0.77652,0.45221,1.60047,1.03584,0.00155,0.000292267,0.000292267,0.000292267
94,422.583,1.34596,0.67756,0.00131,0.93772,0.57163,0.78176,0.45429,1.60932,1.03821,0.00156,0.000288562,0.000288562,0.000288562
95,426.814,1.40682,0.68104,0.00137,0.6708,0.6756,0.75809,0.43938,1.60039,1.04855,0.00155,0.000284851,0.000284851,0.000284851
96,430.207,1.23575,0.60093,0.00117,0.6708,0.6756,0.75809,0.43938,1.60039,1.04855,0.00155,0.000281134,0.000281134,0.000281134
97,433.595,1.25501,0.57779,0.00129,0.73204,0.661,0.77283,0.45536,1.59666,1.05345,0.00153,0.000277413,0.000277413,0.000277413
98,437.955,1.29491,0.63584,0.00126,0.73204,0.661,0.77283,0.45536,1.59666,1.05345,0.00153,0.000273688,0.000273688,0.000273688
99,442.268,1.28509,0.62887,0.00119,0.75941,0.63991,0.77105,0.44765,1.5871,1.05518,0.00153,0.00026996,0.00026996,0.00026996
100,445.764,1.27562,0.61047,0.00111,0.72337,0.68237,0.76782,0.42717,1.58437,1.08671,0.00154,0.00026623,0.00026623,0.00026623
101,449.325,1.25372,0.59846,0.00135,0.72337,0.68237,0.76782,0.42717,1.58437,1.08671,0.00154,0.0002625,0.0002625,0.0002625
102,452.784,1.21042,0.54734,0.00116,0.68589,0.7017,0.76605,0.42921,1.60161,1.09106,0.00155,0.00025877,0.00025877,0.00025877
103,456.124,1.31281,0.66302,0.00124,0.68427,0.69324,0.76061,0.42871,1.63357,1.06971,0.00156,0.00025504,0.00025504,0.00025504
104,459.38,1.25965,0.59371,0.00119,0.68427,0.69324,0.76061,0.42871,1.63357,1.06971,0.00156,0.000251312,0.000251312,0.000251312
105,462.792,1.29913,0.60577,0.00138,0.67246,0.6853,0.74511,0.44851,1.64012,1.05493,0.00158,0.000247587,0.000247587,0.000247587
106,466.13,1.28784,0.5861,0.00117,0.67246,0.6853,0.74511,0.44851,1.64012,1.05493,0.00158,0.000243866,0.000243866,0.000243866
107,469.462,1.22991,0.55986,0.00114,0.67904,0.68383,0.74272,0.44133,1.62563,1.05728,0.00159,0.000240149,0.000240149,0.000240149
108,472.745,1.19156,0.53094,0.00118,0.6938,0.69864,0.73278,0.431,1.61525,1.08989,0.00158,0.000236438,0.000236438,0.000236438
109,476.232,1.22023,0.59185,0.00134,0.6938,0.69864,0.73278,0.431,1.61525,1.08989,0.00158,0.000232733,0.000232733,0.000232733
110,479.7,1.25202,0.60097,0.00113,0.65173,0.71826,0.73236,0.43163,1.6309,1.12289,0.00158,0.000229036,0.000229036,0.000229036
111,483.111,1.33898,0.60336,0.00115,0.6389,0.71773,0.74614,0.4435,1.62779,1.11292,0.00157,0.000225347,0.000225347,0.000225347
112,486.604,1.23121,0.58347,0.00113,0.6389,0.71773,0.74614,0.4435,1.62779,1.11292,0.00157,0.000221667,0.000221667,0.000221667
113,489.902,1.20443,0.54481,0.00126,0.63768,0.72407,0.75327,0.44336,1.60569,1.1094,0.00156,0.000217997,0.000217997,0.000217997
114,493.221,1.2953,0.58649,0.00128,0.63768,0.72407,0.75327,0.44336,1.60569,1.1094,0.00156,0.000214338,0.000214338,0.000214338
115,496.579,1.3822,0.63069,0.00115,0.63512,0.71905,0.75284,0.44498,1.60956,1.11016,0.00157,0.000210691,0.000210691,0.000210691
116,500.044,1.20415,0.55315,0.00121,0.62544,0.71905,0.7435,0.4365,1.62611,1.08247,0.00158,0.000207057,0.000207057,0.000207057
117,503.657,1.18087,0.53223,0.00118,0.62544,0.71905,0.7435,0.4365,1.62611,1.08247,0.00158,0.000203436,0.000203436,0.000203436
118,507.254,1.32592,0.62734,0.00121,0.5946,0.74719,0.74522,0.42853,1.66117,1.0582,0.00162,0.00019983,0.00019983,0.00019983
119,510.895,1.18623,0.53533,0.00108,0.63566,0.72054,0.7528,0.42573,1.67369,1.0331,0.00164,0.00019624,0.00019624,0.00019624
120,514.385,1.19166,0.5532,0.00126,0.63566,0.72054,0.7528,0.42573,1.67369,1.0331,0.00164,0.000192665,0.000192665,0.000192665
121,517.921,1.26177,0.55914,0.00131,0.61341,0.74012,0.64707,0.36521,1.68145,1.01156,0.00166,0.000189108,0.000189108,0.000189108
122,521.539,1.14885,0.50984,0.00117,0.61341,0.74012,0.64707,0.36521,1.68145,1.01156,0.00166,0.00018557,0.00018557,0.00018557
123,525.01,1.16267,0.54621,0.00157,0.62163,0.74246,0.65896,0.37457,1.67886,1.00723,0.00165,0.00018205,0.00018205,0.00018205
124,528.62,1.27931,0.59673,0.00115,0.63143,0.72749,0.65029,0.37381,1.67157,1.00913,0.00165,0.00017855,0.00017855,0.00017855
125,532.377,1.21574,0.54931,0.00103,0.63143,0.72749,0.65029,0.37381,1.67157,1.00913,0.00165,0.00017507,0.00017507,0.00017507
126,535.832,1.17785,0.49921,0.00101,0.62219,0.74381,0.66543,0.38585,1.66418,1.02158,0.00163,0.000171613,0.000171613,0.000171613
127,539.398,1.29326,0.59279,0.00112,0.63037,0.71333,0.66994,0.39069,1.66225,1.0389,0.00162,0.000168177,0.000168177,0.000168177
128,542.982,1.24469,0.53318,0.00134,0.63037,0.71333,0.66994,0.39069,1.66225,1.0389,0.00162,0.000164765,0.000164765,0.000164765
129,546.54,1.17253,0.52048,0.00112,0.6552,0.70864,0.67132,0.39571,1.69353,1.00656,0.00164,0.000161377,0.000161377,0.000161377
