epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,180.373,2.09543,1.85186,0.0028,0.48548,0.22738,0.21325,0.08309,2.50213,1.80762,0.00285,0.000151367,0.000151367,0.000151367
133,181.566,2.26747,1.71223,0.00258,0.48548,0.22738,0.21325,0.08309,2.50213,1.80762,0.00285,0.000148084,0.000148084,0.000148084
134,182.746,2.21565,1.70971,0.00276,0.26328,0.24619,0.22269,0.08619,2.47922,1.82107,0.00283,0.000144829,0.000144829,0.000144829
135,183.994,2.25055,1.74139,0.0028,0.25455,0.24969,0.2237,0.08708,2.5006,1.8105,0.00286,0.000141603,0.000141603,0.000141603
136,185.356,2.30799,1.78098,0.00252,0.25455,0.24969,0.2237,0.08708,2.5006,1.8105,0.00286,0.000138407,0.000138407,0.000138407
137,186.634,2.30015,1.69984,0.00249,0.25722,0.2662,0.22163,0.08646,2.51287,1.81413,0.00286,0.000135241,0.000135241,0.000135241
138,187.796,2.21041,1.68843,0.00261,0.25722,0.2662,0.22163,0.08646,2.51287,1.81413,0.00286,0.000132107,0.000132107,0.000132107
139,188.961,2.12267,1.75728,0.00253,0.26242,0.2464,0.21476,0.08639,2.51328,1.80458,0.00287,0.000129005,0.000129005,0.000129005
140,190.233,2.36147,1.76976,0.00256,0.27913,0.23431,0.21941,0.08707,2.50459,1.80606,0.00285,0.000125936,0.000125936,0.000125936
141,191.418,2.10918,1.78716,0.00255,0.27913,0.23431,0.21941,0.08707,2.50459,1.80606,0.00285,0.000122901,0.000122901,0.000122901
142,192.736,2.21696,1.78988,0.00261,0.28956,0.23477,0.22241,0.08702,2.50395,1.78378,0.00287,0.0001199,0.0001199,0.0001199
143,193.942,2.21353,1.69798,0.00253,0.28216,0.23169,0.22299,0.08772,2.49819,1.78921,0.00285,0.000116935,0.000116935,0.000116935
144,195.149,2.16445,1.6866,0.00248,0.28216,0.23169,0.22299,0.08772,2.49819,1.78921,0.00285,0.000114005,0.000114005,0.000114005
145,196.443,2.12402,1.68766,0.00238,0.28691,0.2239,0.21648,0.08621,2.50967,1.77343,0.00287,0.000111112,0.000111112,0.000111112
146,197.653,2.21567,1.68219,0.00261,0.28691,0.2239,0.21648,0.08621,2.50967,1.77343,0.00287,0.000108256,0.000108256,0.000108256
147,198.954,2.14035,1.64935,0.00252,0.28577,0.22688,0.21683,0.08593,2.50164,1.76957,0.00286,0.000105438,0.000105438,0.000105438
148,200.138,2.27165,1.81399,0.00263,0.27454,0.2568,0.22307,0.08715,2.4905,1.78377,0.00284,0.00010266,0.00010266,0.00010266
149,201.32,2.16948,1.71584,0.00263,0.27454,0.2568,0.22307,0.08715,2.4905,1.78377,0.00284,9.99201e-05,9.99201e-05,9.99201e-05
150,202.503,2.17532,1.711,0.00261,0.26438,0.2568,0.22363,0.0873,2.50526,1.78185,0.00284,9.72207e-05,9.72207e-05,9.72207e-05
151,203.743,2.17934,1.6503,0.0025,0.26988,0.26347,0.22723,0.08724,2.51331,1.76969,0.00285,9.45621e-05,9.45621e-05,9.45621e-05
